"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",-0.174822828970357,0.0761939696570353,52,-2.29444442594697,0.0258337302339944
"Strata",0.117989157471386,0.0411763412718723,52,2.86545996625458,0.00599562845720202
"(Intercept)",-0.107342335598574,0.0537350769637632,52,-1.9976213241671,0.0510015610985342
"Strata",0.0727761614755115,0.0329431306072456,52,2.2091452795778,0.0315938947045338
"(Intercept)",-0.143411047487807,0.0379339520995363,52,-3.78054591073204,0.000405003396265838
"Strata",0.0961060286060653,0.0190591546376186,52,5.04251266298943,5.93440150602284e-06
"(Intercept)",-0.025854501509632,0.0344954768584222,52,-0.749504105009046,0.456930920215454
"Strata",0.0173601815290379,0.0217905774333655,52,0.796682950790289,0.429257697664376
