"","Subfamily","Tribe","Genus","Species","Sex","Abundance","SU","Strata","Trap","Date","Month","CMR","Obs","Lep"
"46","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_pronophila","F",1,"NF6","Understory","Und2","11/05/2016","November","","Voucher","24"
"47","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","F",1,"NF6","Understory","Und2","11/05/2016","November","","Voucher","70"
"48","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","F",1,"NF6","Understory","Und2","11/05/2016","November","","Voucher","29"
"49","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima",NA,1,"NF6","Understory","Und2","11/05/2016","November","","Scape",""
"50","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","F",1,"NF6","Understory","Und3","11/05/2016","November","12","",""
"51","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","F",1,"NF6","Understory","Und3","11/05/2016","November","13","",""
"52","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima","F",1,"NF6","Understory","Und3","11/05/2016","November","","Voucher","40"
"53","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","M",1,"NF6","Understory","Und4","11/05/2016","November","","Voucher","82"
"54","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","F",1,"NF6","Canopy","Can4","11/05/2016","November","","Voucher","51"
"55","Charaxinae","Anaeini","Zaretis","Zaretis_strigosus","M",1,"NF6","Canopy","Can5","11/05/2016","November","","Voucher","67"
"56","Charaxinae","Anaeini","Memphis","Memphis_moruus","M",1,"NF6","Canopy","Can5","11/05/2016","November","","Voucher","75"
"57","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_chalciope","M",1,"NF1","Canopy","Can1","11/06/2016","November","14","",""
"58","Charaxinae","Anaeini","Memphis","Memphis_hirta","F",1,"NF1","Canopy","Can1","11/06/2016","November","15","",""
"59","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","M",1,"NF1","Canopy","Can1","11/06/2016","November","","Voucher","36"
"60","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF1","Canopy","Can1","11/06/2016","November","","Voucher","33"
"61","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF1","Understory","Und2","11/06/2016","November","16","",""
"62","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF1","Understory","Und2","11/06/2016","November","17","",""
"63","Biblidinae","Epiphilini","Epiphile","Epiphile_hubneri","M",1,"NF1","Canopy","Can3","11/06/2016","November","18","",""
"64","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF1","Understory","Und4","11/06/2016","November","19","",""
"65","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF1","Canopy","Can4","11/06/2016","November","","Voucher","39"
"66","Charaxinae","Anaeini","Memphis","Memphis_hirta","F",1,"NF2","Canopy","Can3","11/06/2016","November","20","",""
"67","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF2","Canopy","Can3","11/06/2016","November","","Voucher","49"
"68","Charaxinae","Anaeini","Memphis","Memphis_hirta","F",1,"NF2","Canopy","Can4","11/06/2016","November","","Voucher","31"
"69","Charaxinae","Anaeini","Memphis","Memphis_hirta","F",1,"NF2","Canopy","Can4","11/06/2016","November","","Voucher","25"
"70","Charaxinae","Anaeini","Memphis","Memphis_moruus","M",1,"NF2","Canopy","Can4","11/06/2016","November","","Voucher","27"
"71","Satyrinae","Brassolini","Eryphanis","Eryphanis_reevesii","F",1,"NF3","Understory","Und1","11/06/2016","November","","Voucher","65"
"72","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","M",1,"NF3","Understory","Und2","11/06/2016","November","","Voucher","61"
"73","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","M",1,"NF3","Understory","Und2","11/06/2016","November","21","",""
"74","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_chalciope","M",1,"NF3","Understory","Und2","11/06/2016","November","23","",""
"75","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima",NA,1,"NF3","Understory","Und2","11/06/2016","November","","Next_trap",""
"76","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_pronophila","F",1,"NF3","Canopy","Can4","11/06/2016","November","","Voucher","26"
"77","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_chalciope","F",1,"NF3","Canopy","Can5","11/06/2016","November","22","",""
"78","Charaxinae","Anaeini","Zaretis","Zaretis_strigosus","M",1,"NF4","Canopy","Can5","11/06/2016","November","","Voucher","34"
"79","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF5","Canopy","Can3","11/06/2016","November","","Voucher","93"
"80","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_chalciope","M",1,"NF5","Understory","Und4","11/06/2016","November","29","",""
"81","Charaxinae","Anaeini","Zaretis","Zaretis_strigosus","M",1,"NF5","Canopy","Can4","11/06/2016","November","","Voucher","37"
"82","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","M",1,"NF6","Understory","Und1","11/06/2016","November","","Voucher","59"
"83","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","M",1,"NF6","Understory","Und1","11/06/2016","November","","Voucher","66"
"84","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_pronophila","F",1,"NF6","Understory","Und1","11/06/2016","November","","Voucher","23"
"85","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_chalciope","F",1,"NF6","Understory","Und2","11/06/2016","November","24","",""
"86","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_pronophila",NA,1,"NF6","Understory","Und2","11/06/2016","November","","Dead","21"
"87","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima",NA,1,"NF6","Understory","Und3","11/06/2016","November","","Voucher",""
"88","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima",NA,1,"NF6","Understory","Und3","11/06/2016","November","","Voucher",""
"89","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","F",1,"NF6","Understory","Und4","11/06/2016","November","","Voucher","22"
"90","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF6","Canopy","Can4","11/06/2016","November","25","",""
"91","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","M",1,"NF1","Understory","Und1","11/07/2016","November","30","",""
"92","Biblidinae","Ageroniini","Hamadryas","Hamadryas_epinome","M",1,"NF1","Understory","Und5","11/07/2016","November","","Voucher","43"
