"","Code","Archaeoprepona_amphimachus","Archaeoprepona_chalciope","Archaeoprepona_demophon","Archaeoprepona_demophoon","Blepolenis_batea","Caligo_martia","Carminda_griseldis","Carminda_paeon","Catoblepia_amphirhoe","Diaethria_candrena","Diaethria_clymena","Epiphile_hubneri","Epiphile_orea","Eryphanis_reevesii","Eteona_tisiphone","Euptychoides_castrensis","Forsterinaria_necys","Forsterinaria_pronophila","Forsterinaria_quantius","Hamadryas_epinome","Hermeuptychia_sp","Memphis_hirta","Memphis_moruus","Morpho_epistrophus","Morpho_portis","Narope_cyllastros","Opoptera_fruhstorferi","Opsiphanes_quiteria","Paryphthimoides_grimon","Praepedaliodes_phanias","Prepona_pylene","Smyrna_blomfildia","Taygetis_ypthima","Zaretis_strigosus","Tmean","Tsd"
"33","UNF1J",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.036,1.33
"34","UNF1M",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17.464,0.815
"35","UNF1N",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.465,2.153
"36","UNF2D",1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.742,2.429
"37","UNF2F",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,22.555,1.713
"38","UNF2J",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.132,1.825
"39","UNF2M",1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,20.66,2.062
"40","UNF3D",0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,21.04,3.576
"41","UNF3F",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,7,1,0,8,0,0,0,0,0,13,0,22.975,2.856
"42","UNF3J",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,0,0,5,0,0,0,0,0,20,0,22.404,2.208
"43","UNF3M",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,16.26,0.841
"44","UNF3N",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20.78,3.119
"45","UNF4F",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,8,0,23.51,1.016
"46","UNF4J",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,23.13,4.121
"47","UNF4M",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,13,0,19.713,0.899
"48","UNF4N",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6,5.262
"49","UNF5D",0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.872,2.607
"50","UNF5F",0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,20,0,0,5,0,0,0,0,0,2,0,24.87,2.439
"51","UNF5J",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21.648,2.644
"52","UNF5M",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,20.573,1.904
"53","UNF5N",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.945,4.363
"54","UNF6D",0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.029,2.56
"55","UNF6F",0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,14,1,42,0,0,0,0,2,2,0,18,0,0,0,0,0,16,0,22.479,1.491
"56","UNF6J",0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,7,0,0,0,0,0,1,0,14,0,0,0,0,0,16,0,18.636,2.594
"57","UNF6M",0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,17.547,1.523
"58","UNF6N",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,22.3,4.209
