Subfamily;Tribe;Genus;Species;Sex;Abundance;SU;Strata;Trap;Date;Month;CMR;Obs;Lep
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF6;Understory;Und3;11/05/2016;November;12;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF6;Understory;Und3;11/05/2016;November;13;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF6;Understory;Und3;11/05/2016;November;;Voucher;40
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF6;Understory;Und4;11/05/2016;November;;Voucher;82
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;F;1;NF6;Canopy;Can4;11/05/2016;November;;Voucher;51
Charaxinae;Anaeini;Zaretis;Zaretis_strigosus;M;1;NF6;Canopy;Can5;11/05/2016;November;;Voucher;67
Charaxinae;Anaeini;Memphis;Memphis_moruus;M;1;NF6;Canopy;Can5;11/05/2016;November;;Voucher;75
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;M;1;NF1;Canopy;Can1;11/06/2016;November;14;;
Charaxinae;Anaeini;Memphis;Memphis_hirta;F;1;NF1;Canopy;Can1;11/06/2016;November;15;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF1;Canopy;Can1;11/06/2016;November;;Voucher;36
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can1;11/06/2016;November;;Voucher;33
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Understory;Und2;11/06/2016;November;16;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Understory;Und2;11/06/2016;November;17;;
Biblidinae;Epiphilini;Epiphile;Epiphile_hubneri;M;1;NF1;Canopy;Can3;11/06/2016;November;18;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Understory;Und4;11/06/2016;November;19;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can4;11/06/2016;November;;Voucher;39
Charaxinae;Anaeini;Memphis;Memphis_hirta;F;1;NF2;Canopy;Can3;11/06/2016;November;20;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can3;11/06/2016;November;;Voucher;49
Charaxinae;Anaeini;Memphis;Memphis_hirta;F;1;NF2;Canopy;Can4;11/06/2016;November;;Voucher;31
Charaxinae;Anaeini;Memphis;Memphis_hirta;F;1;NF2;Canopy;Can4;11/06/2016;November;;Voucher;25
Charaxinae;Anaeini;Memphis;Memphis_moruus;M;1;NF2;Canopy;Can4;11/06/2016;November;;Voucher;27
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF3;Understory;Und1;11/06/2016;November;;Voucher;65
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF3;Understory;Und2;11/06/2016;November;;Voucher;61
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF3;Understory;Und2;11/06/2016;November;21;;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;M;1;NF3;Understory;Und2;11/06/2016;November;23;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;NA;1;NF3;Understory;Und2;11/06/2016;November;;Next_trap;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_pronophila;F;1;NF3;Canopy;Can4;11/06/2016;November;;Voucher;26
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;F;1;NF3;Canopy;Can5;11/06/2016;November;22;;
Charaxinae;Anaeini;Zaretis;Zaretis_strigosus;M;1;NF4;Canopy;Can5;11/06/2016;November;;Voucher;34
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF5;Canopy;Can3;11/06/2016;November;;Voucher;93
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;M;1;NF5;Understory;Und4;11/06/2016;November;29;;
Charaxinae;Anaeini;Zaretis;Zaretis_strigosus;M;1;NF5;Canopy;Can4;11/06/2016;November;;Voucher;37
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF6;Understory;Und1;11/06/2016;November;;Voucher;59
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF6;Understory;Und1;11/06/2016;November;;Voucher;66
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_pronophila;F;1;NF6;Understory;Und1;11/06/2016;November;;Voucher;23
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;F;1;NF6;Understory;Und2;11/06/2016;November;24;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_pronophila;NA;1;NF6;Understory;Und2;11/06/2016;November;;Dead;21
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;NA;1;NF6;Understory;Und3;11/06/2016;November;;Voucher;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;NA;1;NF6;Understory;Und3;11/06/2016;November;;Voucher;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;F;1;NF6;Understory;Und4;11/06/2016;November;;Voucher;22
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can4;11/06/2016;November;25;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF1;Understory;Und1;11/07/2016;November;30;;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_epinome;M;1;NF1;Understory;Und5;11/07/2016;November;;Voucher;43
Charaxinae;Anaeini;Memphis;Memphis_hirta;F;1;NF2;Canopy;Can2;11/07/2016;November;"""139""";;
Charaxinae;Anaeini;Memphis;Memphis_hirta;NA;1;NF2;Canopy;Can2;11/07/2016;November;;;
Charaxinae;Anaeini;Memphis;Memphis_hirta;F;1;NF2;Canopy;Can3;11/07/2016;November;;;
Charaxinae;Anaeini;Memphis;Memphis_hirta;F;1;NF2;Canopy;Can4;11/07/2016;November;;Voucher;38
Charaxinae;Anaeini;Memphis;Memphis_hirta;F;1;NF2;Canopy;Can5;11/07/2016;November;;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF3;Understory;Und1;11/07/2016;November;31;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF3;Understory;Und2;11/07/2016;November;32;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF3;Understory;Und4;11/07/2016;November;;Voucher;54
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_demophoon;F;1;NF3;Canopy;Can5;11/07/2016;November;;Voucher;32
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF1;Canopy;Can2;12/09/2016;December;;Voucher;SEM LEP
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;12/09/2016;December;33;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;12/09/2016;December;34;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;12/09/2016;December;35;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF3;Understory;Und2;12/09/2016;December;36;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can4;12/10/2016;December;;Voucher;217
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can1;12/11/2016;December;36;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can1;12/11/2016;December;37;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can1;12/11/2016;December;38;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF1;Canopy;Can2;12/11/2016;December;;Scape;
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF1;Canopy;Can4;12/11/2016;December;;Scape;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can4;12/11/2016;December;39;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can5;12/11/2016;December;40;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can5;12/11/2016;December;41;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can5;12/11/2016;December;;Voucher;210
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can4;12/11/2016;December;42;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can4;12/11/2016;December;;Voucher;249
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF3;Understory;Und1;12/11/2016;December;;Voucher;248
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF3;Canopy;Can5;12/11/2016;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Understory;Und1;12/12/2016;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can1;12/12/2016;December;;;
Satyrinae;Satyrini;Hermeuptychia;Hermeuptychia_sp;NA;1;NF6;Canopy;Can1;12/12/2016;December;;Voucher;251
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF6;Understory;Und2;12/12/2016;December;44;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can3;12/12/2016;December;45;;
Satyrinae;Satyrini;Praepedaliodes;Praepedaliodes_phanias;F;1;NF6;Canopy;Can4;12/12/2016;December;;Voucher;199
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can4;12/12/2016;December;46;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can4;12/12/2016;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can4;12/12/2016;December;;Voucher;219
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can4;12/12/2016;December;;Dead;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF6;Understory;Und5;12/12/2016;December;;Voucher;164
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can5;12/12/2016;December;47;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can5;12/12/2016;December;48;;
Satyrinae;Satyrini;Euptychoides;Euptychoides_castrensis;F;1;NF6;Canopy;Can5;12/12/2016;December;;Voucher;253
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can5;12/12/2016;December;;Voucher;247
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF5;Understory;Und1;12/12/2016;December;49;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Canopy;Can2;12/12/2016;December;50;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Canopy;Can2;12/12/2016;December;51;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF5;Canopy;Can2;12/12/2016;December;52;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF5;Canopy;Can2;12/12/2016;December;53;;
Biblidinae;Epiphilini;Epiphile;Epiphile_hubneri;M;1;NF5;Canopy;Can3;12/12/2016;December;;Voucher;205
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF5;Canopy;Can3;12/12/2016;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Canopy;Can5;12/12/2016;December;54;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF5;Canopy;Can5;12/12/2016;December;;Dead;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;M;1;NF4;Canopy;Can1;12/12/2016;December;55;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF4;Canopy;Can3;12/12/2016;December;56;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF4;Canopy;Can3;12/12/2016;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF4;Canopy;Can4;12/12/2016;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF4;Canopy;Can5;12/12/2016;December;;Dead;
Biblidinae;Epiphilini;Temenis;Temenis_laothoe;NA;1;NF3;Understory;Und5;12/11/2016;December;;Next_trap;
Satyrinae;Morphini;Morpho;Morpho_portis;NA;1;NF3;Understory;Und5;12/11/2016;December;;Next_trap;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can1;12/13/16;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can2;12/13/16;December;57;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can2;12/13/16;December;58;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can2;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can2;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can2;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can2;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Understory;Und3;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Understory;Und3;12/13/16;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can3;12/13/16;December;59;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can4;12/13/16;December;60;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can4;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;12/13/16;December;61;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can5;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;12/13/16;December;62;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can2;12/13/16;December;63;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can2;12/13/16;December;64;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can2;12/13/16;December;65;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can2;12/13/16;December;66;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can2;12/13/16;December;67;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Understory;Und2;12/13/16;December;;Dead;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;M;1;NF2;Canopy;Can3;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Understory;Und3;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can4;12/13/16;December;68;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can4;12/13/16;December;69;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can4;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can5;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can5;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF3;Understory;Und1;12/13/16;December;70;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF3;Canopy;Can1;12/13/16;December;71;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF3;Understory;Und2;12/13/16;December;71;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF3;Canopy;Can2;12/13/16;December;;Voucher;181
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF3;Canopy;Can2;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF3;Canopy;Can3;12/13/16;December;;Dead;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;NA;1;NF3;Understory;Und1;12/13/16;December;;Next_trap;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF3;Understory;Und1;12/13/16;December;;Next_trap;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can1;12/14/16;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can1;12/14/16;December;72;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;F;1;NF6;Understory;Und2;12/14/16;December;;Voucher;201
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF6;Understory;Und2;12/14/16;December;73;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_pronophila;F;1;NF6;Canopy;Can2;12/14/16;December;;Voucher;218
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;NA;1;NF6;Understory;Und4;12/14/16;December;;Scape;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF6;Understory;Und4;12/14/16;December;74;;
