Species;AR;WL;WTr;FW.HW;TDM;FWL;AM;TM;FEA;Darkness;Iridescence;Eyespots;Rings;Criptic;Disruptive
Archaeoprepona_amphimachus;4.964;1.608;6.644;1.438;0.259;44.263;0.062;0.133;3.375;1;1;0;1;1;0
Archaeoprepona_chalciope;5.148;1.133;8.175;1.338;0.208;48.114;0.048;0.108;2.825;1;1;0;1;1;0
Archaeoprepona_demophon;4.967;1.467;6.746;1.37;0.328;52.165;0.136;0.109;3.446;1;1;0;1;1;0
Archaeoprepona_demophoon;5.15;1.356;6.192;1.441;0.283;51.31;0.109;0.108;3.024;1;1;0;1;1;0
Blepolenis_batea;3.861;0.829;11.408;1.183;0.18;45.328;0.041;0.084;2.286;0;0;1;1;1;1
Caligo_martia;4.096;0.692;12.796;1.099;0.239;58.869;0.047;0.085;3.809;1;1;1;0;1;1
Carminda_griseldis;5.211;0.353;44.766;1.207;0.011;19.955;0.003;0.004;0.771;1;0;1;0;1;0
Carminda_paeon;4.161;0.265;45.907;1.211;0.009;18.619;0.003;0.005;0.662;1;0;1;0;1;0
Catoblepia_amphirhoe;4.518;1.065;10.369;1.188;0.208;46.505;0.051;0.098;3.453;1;0;1;1;1;1
Diaethria_candrena;4.555;0.753;18.549;1.326;0.029;20.727;0.007;0.015;0.835;1;1;0;1;0;1
Diaethria_clymena;4.598;0.733;18.816;1.336;0.034;22.86;0.009;0.015;1.254;1;1;0;1;0;1
Epiphile_hubneri;4.432;0.649;10.637;1.263;0.041;26.188;0.011;0.022;1.171;0;0;1;1;1;0
Epiphile_orea;4.964;0.72;11.946;1.272;0.038;25.332;0.01;0.02;1.266;1;1;1;1;1;0
Eryphanis_reevesii;4.268;0.848;7.482;1.046;0.212;51.128;0.062;0.079;2.943;1;1;1;0;1;1
Eteona_tisiphone;5.115;0.61;40.779;1.287;0.038;27.93;0.021;0.012;0.644;1;0;0;1;0;0
Euptychoides_castrensis;3.989;0.304;40.109;1.204;0.01;17.929;0.003;0.006;0.717;1;0;1;0;1;0
Forsterinaria_necys;4.577;0.364;33.954;1.209;0.016;22.209;0.006;0.007;0.897;1;0;0;0;1;0
Forsterinaria_pronophila;4.684;0.335;44.097;1.241;0.013;21.107;0.003;0.005;0.719;1;0;1;0;1;0
Forsterinaria_quantius;3.862;0.263;39.233;1.211;0.017;24.738;0.005;0.007;0.883;1;0;0;0;1;0
Hamadryas_epinome;4.684;0.62;19.192;1.341;0.071;36.24;0.02;0.032;1.222;0;0;1;0;0;1
Hermeuptychia_sp;4.503;0.365;35.269;1.326;0.01;17.375;0.002;0.004;0.521;1;0;1;0;1;0
Memphis_hirta;4.844;0.843;12.921;1.278;0.043;24.599;0.013;0.018;1.173;1;1;0;0;1;0
Memphis_moruus;4.759;0.879;10.689;1.357;0.077;31.952;0.017;0.037;1.892;1;1;0;0;1;0
Morpho_epistrophus;5.107;0.393;28.078;1.288;0.137;66.013;0.03;0.048;2.606;0;1;1;0;0;1
Morpho_portis;5.03;0.23;43.304;1.279;0.036;43.888;0.008;0.014;1.066;0;1;1;0;0;1
Narope_cyllastros;4.138;0.524;15.319;1.108;0.045;29.508;0.017;0.019;1.147;1;0;0;0;1;0
Opoptera_fruhstorferi;4.068;0.501;24.074;1.127;0.078;39.38;0.025;0.027;1.956;1;0;1;1;1;1
Opsiphanes_quiteria;4.657;1.621;5.991;1.231;0.389;52.328;0.065;0.233;4.218;1;0;1;1;1;1
Paryphthimoides_grimon;3.911;0.228;45.367;1.229;0.01;20.504;0.002;0.005;0.78;1;0;1;0;1;0
Praepedaliodes_phanias;5.249;0.31;37.099;1.19;0.02;28.801;0.006;0.01;1.129;1;0;0;0;1;1
Prepona_pylene;4.884;1.03;9.285;1.323;0.211;49.501;0.044;0.097;3.379;1;1;1;1;1;0
Smyrna_blomfildia;4.454;1.809;5.839;1.336;0.278;40.95;0.108;0.013;2.842;0;0;1;1;0;1
Taygetis_ypthima;4.16;0.503;18.503;1.156;0.058;34.294;0.015;0.022;1.191;1;0;0;0;1;0
Zaretis_strigosus;5.425;0.629;12.768;1.367;0.05;32.493;0.013;0.028;1.225;0;0;0;0;1;0
